,scores
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.14000000059604645
11,0.0
12,0.0
13,0.35999995470046997
14,0.06999999284744263
15,0.10999999940395355
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.14000000059604645
31,0.0
32,0.0
33,0.35999995470046997
34,0.06999999284744263
35,0.10999999940395355
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.38999995589256287
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.07000000029802322
54,0.4099999666213989
55,0.3699999749660492
56,0.8799999952316284
57,0.0
58,0.0
59,0.4599999487400055
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.38999995589256287
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.07000000029802322
74,0.4099999666213989
75,0.3699999749660492
76,0.8799999952316284
77,0.0
78,0.0
79,0.4599999487400055
80,0.5999999642372131
81,0.0
82,0.0
83,0.13999998569488525
84,0.0
85,0.04999999701976776
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.5199999213218689
92,0.26999998092651367
93,0.25999996066093445
94,0.0
95,0.26999998092651367
96,0.0
97,0.4299999177455902
98,0.0
99,0.3999999463558197
100,0.5999999642372131
101,0.0
102,0.0
103,0.13999998569488525
104,0.0
105,0.04999999701976776
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.5199999213218689
112,0.26999998092651367
113,0.25999996066093445
114,0.0
115,0.26999998092651367
116,0.0
117,0.4299999177455902
118,0.0
119,0.3999999463558197
120,0.25999996066093445
121,0.0
122,0.0
123,0.0
124,0.7400000691413879
125,0.019999999552965164
126,0.10999999195337296
127,0.0
128,0.2499999850988388
129,0.0
130,0.40999993681907654
131,0.16999998688697815
132,0.0
133,0.309999942779541
134,0.0
135,0.0
136,0.5799999833106995
137,0.07999999821186066
138,0.35999998450279236
139,0.28999999165534973
140,0.25999996066093445
141,0.0
142,0.0
143,0.0
144,0.7400000691413879
145,0.019999999552965164
146,0.10999999195337296
147,0.0
148,0.2499999850988388
149,0.0
150,0.40999993681907654
151,0.16999998688697815
152,0.0
153,0.309999942779541
154,0.0
155,0.0
156,0.5799999833106995
157,0.07999999821186066
158,0.35999998450279236
159,0.28999999165534973
160,1.579999566078186
161,0.6299999356269836
162,1.209999918937683
163,0.0
164,0.8999999761581421
165,0.5499998927116394
166,0.2699999511241913
167,0.5099999308586121
168,0.5699998736381531
169,0.5599998831748962
170,0.34999993443489075
171,0.5899999141693115
172,0.0
173,0.46999990940093994
174,0.4899999499320984
175,0.0
176,0.6200000047683716
177,0.7199999690055847
178,0.9100000858306885
179,0.7199999690055847
180,1.579999566078186
181,0.6299999356269836
182,1.209999918937683
183,0.0
184,0.8999999761581421
185,0.5499998927116394
186,0.2699999511241913
187,0.5099999308586121
188,0.5699998736381531
189,0.5599998831748962
190,0.34999993443489075
191,0.5899999141693115
192,0.0
193,0.46999990940093994
194,0.4899999499320984
195,0.0
196,0.6200000047683716
197,0.7199999690055847
198,0.9100000858306885
199,0.7199999690055847
200,0.0
201,0.5999999642372131
202,0.1600000113248825
203,0.18999998271465302
204,1.4999996423721313
205,1.0399999618530273
206,0.8600000143051147
207,0.2799999713897705
208,0.3699999451637268
209,0.699999988079071
210,0.37999996542930603
211,1.0100001096725464
212,1.7499994039535522
213,0.5199999213218689
214,0.8200001120567322
215,1.149999976158142
216,1.5599995851516724
217,0.0
218,1.209999918937683
219,0.4599999487400055
220,0.0
221,0.5999999642372131
222,0.1600000113248825
223,0.18999998271465302
224,1.4999996423721313
225,1.0399999618530273
226,0.8600000143051147
227,0.2799999713897705
228,0.3699999451637268
229,0.699999988079071
230,0.37999996542930603
231,1.0100001096725464
232,1.7499994039535522
233,0.5199999213218689
234,0.8200001120567322
235,1.149999976158142
236,1.5599995851516724
237,0.0
238,1.209999918937683
239,0.4599999487400055
240,1.3499997854232788
241,0.9200000762939453
242,0.9500001072883606
243,1.1399998664855957
244,0.4199999272823334
245,0.34999996423721313
246,0.19999998807907104
247,0.0
248,1.579999566078186
249,0.0
250,1.0100001096725464
251,1.1799999475479126
252,0.9200000762939453
253,0.34999996423721313
254,1.100000023841858
255,0.5199999213218689
256,0.5699999332427979
257,1.3699997663497925
258,0.6299999952316284
259,1.000000238418579
260,1.3499997854232788
261,0.9200000762939453
262,0.9500001072883606
263,1.1399998664855957
264,0.4199999272823334
265,0.34999996423721313
266,0.19999998807907104
267,0.0
268,1.579999566078186
269,0.0
270,1.0100001096725464
271,1.1799999475479126
272,0.9200000762939453
273,0.34999996423721313
274,1.100000023841858
275,0.5199999213218689
276,0.5699999332427979
277,1.3699997663497925
278,0.6299999952316284
279,1.000000238418579
280,0.5299999117851257
281,0.3099999725818634
282,0.35999995470046997
283,0.5499999523162842
284,0.89000004529953
285,1.7799993753433228
286,0.44999992847442627
287,1.5099996328353882
288,0.5999999642372131
289,0.89000004529953
290,0.26999998092651367
291,1.149999976158142
292,0.8500000834465027
293,0.5699999332427979
294,1.459999680519104
295,0.19999998807907104
296,0.7600000500679016
297,0.0
298,1.759999394416809
299,1.100000023841858
300,0.5299999117851257
301,0.3099999725818634
302,0.35999995470046997
303,0.5499999523162842
304,0.89000004529953
305,1.7799993753433228
306,0.44999992847442627
307,1.5099996328353882
308,0.5999999642372131
309,0.89000004529953
310,0.26999998092651367
311,1.149999976158142
312,0.8500000834465027
313,0.5699999332427979
314,1.459999680519104
315,0.19999998807907104
316,0.7600000500679016
317,0.0
318,1.759999394416809
319,1.100000023841858
320,0.8900001049041748
321,2.1999990940093994
322,0.0
323,0.8700000643730164
324,1.7399994134902954
325,0.5299999117851257
326,1.1399999856948853
327,1.8999992609024048
328,1.3899997472763062
329,1.1500000953674316
330,1.209999918937683
331,2.6599984169006348
332,1.4899996519088745
333,1.0500000715255737
334,1.0099999904632568
335,0.41999995708465576
336,0.7299998998641968
337,1.1999999284744263
338,0.7100000381469727
339,0.11999998986721039
340,0.8900001049041748
341,2.2399990558624268
342,0.0
343,0.8700000643730164
344,1.7399994134902954
345,0.5299999117851257
346,1.1399999856948853
347,1.8999992609024048
348,1.3899997472763062
349,1.1500000953674316
350,1.209999918937683
351,2.6599984169006348
352,1.4899996519088745
353,1.0500000715255737
354,1.0099999904632568
355,0.41999995708465576
356,0.7299998998641968
357,1.1999999284744263
358,0.7100000381469727
359,0.11999998986721039
360,0.47999992966651917
361,1.979999303817749
362,1.279999852180481
363,1.6799994707107544
364,0.3699999749660492
365,1.209999918937683
366,2.339998960494995
367,1.100000023841858
