,scores
0,0.0
1,0.0
2,0.0
3,0.0
4,0.05999999865889549
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.12999999709427357
19,0.0
20,0.029999999329447746
21,0.0
22,0.0
23,0.05999999865889549
24,0.0
25,0.1099999975413084
26,0.029999999329447746
27,0.0
28,0.07999999821186066
29,0.0
30,0.0
31,0.0
32,0.0
33,0.12999999709427357
34,0.0
35,0.2699999939650297
36,0.2299999948590994
37,0.08999999798834324
38,0.0
39,0.0
40,0.2699999939650297
41,0.6999999843537807
42,0.3199999928474426
43,0.35999999195337296
44,0.5899999868124723
45,0.5599999874830246
46,0.5099999886006117
47,0.6099999863654375
48,0.5999999865889549
49,0.25999999418854713
50,0.7599999830126762
51,0.6599999852478504
52,0.25999999418854713
53,0.669999985024333
54,0.8299999814480543
55,0.9899999778717756
56,0.789999982342124
57,0.669999985024333
58,0.09999999776482582
59,0.13999999687075615
60,0.5599999874830246
61,0.7199999839067459
62,0.6099999863654375
63,0.5999999865889549
64,0.6099999863654375
65,0.909999979659915
66,0.6999999843537807
67,1.4499999675899744
68,0.4599999897181988
69,0.6099999863654375
70,1.2299999725073576
71,0.29999999329447746
72,0.29999999329447746
73,0.2699999939650297
74,1.2999999709427357
75,0.8999999798834324
76,0.4899999890476465
77,0.6599999852478504
78,0.5799999870359898
79,0.46999998949468136
80,0.8199999816715717
81,1.4699999671429396
82,0.7699999827891588
83,0.6599999852478504
84,0.2799999937415123
85,0.2199999950826168
86,0.4999999888241291
87,1.3199999704957008
88,0.9299999792128801
89,1.699999962002039
90,0.4899999890476465
91,0.9199999794363976
92,0.4499999899417162
93,1.5899999644607306
94,1.099999975413084
95,0.3199999928474426
96,1.289999971166253
97,0.6799999848008156
98,1.5399999655783176
99,1.2999999709427357
100,1.3299999702721834
101,0.9599999785423279
102,0.3999999910593033
103,1.1999999731779099
104,0.9399999789893627
105,1.029999976977706
106,1.1299999747425318
107,1.7799999602138996
108,0.6199999861419201
109,0.35999999195337296
110,1.7999999597668648
111,0.7199999839067459
112,1.4499999675899744
113,0.8199999816715717
114,1.3199999704957008
115,0.6899999845772982
116,1.0099999774247408
117,1.0199999772012234
118,0.6499999854713678
119,1.1099999751895666
120,0.5099999886006117
121,1.2999999709427357
122,0.47999998927116394
123,1.0599999763071537
124,1.149999974295497
125,0.2899999935179949
126,0.9599999785423279
127,0.6499999854713678
128,0.24999999441206455
129,0.8399999812245369
130,1.219999972730875
131,0.9599999785423279
132,0.7299999836832285
133,1.389999968931079
134,0.7999999821186066
135,1.0399999767541885
136,0.8999999798834324
137,0.23999999463558197
138,1.0499999765306711
139,0.5999999865889549
140,0.5899999868124723
141,0.9699999783188105
142,0.3999999910593033
143,1.219999972730875
144,1.50999996624887
145,0.19999999552965164
146,0.7699999827891588
147,0.3799999915063381
148,0.7799999825656414
149,0.5899999868124723
150,0.8899999801069498
151,0.25999999418854713
152,0.2299999948590994
153,0.6599999852478504
154,1.5599999651312828
155,0.3899999912828207
156,0.0
157,0.8399999812245369
158,0.9999999776482582
159,1.1099999751895666
160,0.0
161,0.0
162,0.12999999709427357
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.3799999915063381
172,0.0
173,0.1099999975413084
174,0.0
175,0.2199999950826168
176,0.05999999865889549
177,0.0
178,0.0
179,0.04999999888241291
180,0.14999999664723873
181,0.06999999843537807
182,0.1599999964237213
183,0.0
184,0.0
185,0.12999999709427357
186,0.7199999839067459
187,0.25999999418854713
188,0.0
189,0.0
190,0.0
191,0.17999999597668648
192,0.09999999776482582
193,0.2199999950826168
194,0.0
195,0.17999999597668648
196,0.1099999975413084
197,0.05999999865889549
198,0.18999999575316906
199,0.24999999441206455
200,0.0
201,0.0
202,0.09999999776482582
203,0.1599999964237213
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.07999999821186066
222,0.0
223,0.0
224,0.4999999888241291
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.19999999552965164
241,0.029999999329447746
242,0.669999985024333
243,0.2299999948590994
244,1.0099999774247408
245,0.7199999839067459
246,0.2199999950826168
247,0.5099999886006117
248,0.029999999329447746
249,0.0
250,0.7199999839067459
251,0.08999999798834324
252,0.029999999329447746
253,0.04999999888241291
254,0.07999999821186066
255,0.3199999928474426
256,0.4399999901652336
257,0.08999999798834324
258,0.5199999883770943
259,0.30999999307096004
260,0.08999999798834324
261,0.789999982342124
262,1.1199999749660492
263,0.2199999950826168
264,0.3799999915063381
265,0.09999999776482582
266,1.1099999751895666
267,0.41999999061226845
268,1.2999999709427357
269,0.9699999783188105
270,1.1399999745190144
271,1.149999974295497
272,0.009999999776482582
273,0.6099999863654375
274,0.05999999865889549
275,1.4499999675899744
276,0.8599999807775021
277,0.36999999172985554
278,0.1699999962002039
279,0.1699999962002039
280,0.3899999912828207
281,0.7099999841302633
282,0.12999999709427357
283,0.4499999899417162
284,0.8199999816715717
285,0.11999999731779099
286,0.25999999418854713
287,0.4599999897181988
288,0.019999999552965164
289,0.3199999928474426
290,0.3399999924004078
291,0.29999999329447746
292,0.2699999939650297
293,0.40999999083578587
294,0.3299999926239252
295,1.1799999736249447
296,1.7999999597668648
297,0.40999999083578587
298,0.23999999463558197
299,0.5199999883770943
300,0.5699999872595072
301,0.7199999839067459
302,0.5199999883770943
303,0.7699999827891588
304,0.4499999899417162
305,0.09999999776482582
306,0.6199999861419201
307,1.1799999736249447
308,0.8399999812245369
309,1.0599999763071537
310,1.3099999707192183
311,0.17999999597668648
312,0.8799999803304672
313,0.8099999818950891
314,0.4899999890476465
315,0.7999999821186066
316,1.8599999584257603
317,0.8199999816715717
318,1.0099999774247408
319,0.4899999890476465
320,0.7999999821186066
321,1.1599999740719795
322,0.4399999901652336
323,0.9599999785423279
324,0.8399999812245369
325,0.41999999061226845
326,0.8099999818950891
327,0.8099999818950891
328,0.789999982342124
329,0.25999999418854713
330,0.9599999785423279
331,0.9499999787658453
332,1.1999999731779099
333,0.23999999463558197
334,0.7799999825656414
335,1.5199999660253525
336,0.3399999924004078
337,0.3399999924004078
338,0.4999999888241291
339,1.0599999763071537
340,0.3899999912828207
341,0.5599999874830246
342,1.769999960437417
343,0.8899999801069498
344,0.2199999950826168
345,1.5399999655783176
346,1.6399999633431435
347,0.8399999812245369
348,1.3199999704957008
349,1.269999971613288
350,0.2799999937415123
351,0.9199999794363976
352,0.5299999881535769
