,actor_loss,critic_loss
0,-0.03150996156036854,4.276406233572061e-07
1,-0.031558990478515625,3.4175566856475823e-07
2,-0.031041400600224735,5.083708973785406e-08
3,-0.030937213078141214,8.513395059139839e-07
4,-0.030649232491850854,1.9354729211329413e-06
5,-0.03086179429665208,4.265913160850232e-06
6,-0.03060846831649542,5.180889721856374e-06
7,-0.03070156369358301,4.625287824921997e-06
8,-0.030721235554665327,6.331643598400661e-06
9,-0.030809323489665984,7.349353552399407e-06
10,-0.03063976503908634,7.159282463931049e-06
11,-0.031154376920312643,9.802651700852038e-06
12,-0.03120242841541767,9.853039003360209e-06
13,-0.031194212008267642,8.096239224641976e-06
14,-0.03146717920899391,8.697621007058843e-06
15,-0.03177996193990111,9.38011424409524e-06
16,-0.0320927694439888,1.0033826555400083e-05
17,-0.032071420922875404,6.7104954780461416e-06
18,-0.032427466474473476,9.137088591160137e-06
19,-0.03198781833052635,5.489996405572129e-06
20,-0.03211084958165884,6.216417787641149e-06
21,-0.03225425723940134,6.669569214068361e-06
22,-0.03201132249087095,4.7017223195666705e-06
23,-0.03211416471749544,6.9650775202489966e-06
24,-0.03186688357964158,3.313992210962624e-06
25,-0.03218557070940733,5.178372623504401e-06
26,-0.03209953997284174,5.394979493189567e-06
27,-0.03186205457895994,4.443650918517505e-06
28,-0.03182476237416267,4.816173316157801e-06
29,-0.03227565437555313,6.870092138910877e-06
30,-0.03238159380853176,7.351439734293308e-06
31,-0.032070378120988605,5.8351468538830885e-06
32,-0.03218834605067968,6.04578245599896e-06
33,-0.03228591363877058,6.4542576410531184e-06
34,-0.03232312966138125,7.332286054406723e-06
35,-0.032404153048992156,9.080942680839143e-06
36,-0.03257502559572458,6.297776380392861e-06
37,-0.0330567255616188,9.405282401075966e-06
38,-0.032868233323097226,6.426942201187558e-06
39,-0.032636447437107564,6.54790251957138e-06
40,-0.032426259387284516,5.467714760243325e-06
41,-0.03306303434073925,9.75145461552529e-06
42,-0.03275860343128443,6.004595047670591e-06
43,-0.032650711759924886,7.348126314354886e-06
44,-0.03299227748066187,9.158794429708906e-06
45,-0.033309652283787725,1.0504139135036894e-05
46,-0.03343981429934502,8.508427356446191e-06
47,-0.03301489669829607,5.739934707094108e-06
48,-0.033617209456861016,8.86611771875323e-06
49,-0.03365385923534632,8.656671252538217e-06
50,-0.03367172498255968,1.0853918331577006e-05
51,-0.033402322046458724,9.054237648342677e-06
52,-0.03383151441812515,7.888658001320436e-06
53,-0.034001605771481994,7.322934868625452e-06
54,-0.034368814900517464,1.038448351664556e-05
55,-0.03409553300589323,1.2706395534678449e-05
56,-0.03436443246901035,8.3654098034458e-06
57,-0.03431924022734165,9.939184153040515e-06
58,-0.0339451739564538,8.169412743086468e-06
59,-0.0346297163516283,7.67364065836773e-06
60,-0.03451034314930439,9.914655925058468e-06
61,-0.03430598489940166,8.282893116984268e-06
62,-0.03412787988781929,8.616948369422061e-06
63,-0.03458656836301088,1.0912879884017456e-05
64,-0.034605204872786996,9.476362725990839e-06
65,-0.034667248278856276,8.945041172125911e-06
66,-0.03470333777368069,7.479076634808734e-06
67,-0.03481700513511896,1.1133452699141343e-05
68,-0.03466499783098698,8.425283414226215e-06
69,-0.0350112859159708,8.631054623720046e-06
70,-0.03507869355380535,8.490755237744452e-06
71,-0.035137998126447204,1.2395043347623868e-05
72,-0.0352728633210063,1.1747736891720706e-05
73,-0.035498701967298985,1.1196736488727766e-05
74,-0.03629291672259569,1.1721214787030475e-05
75,-0.03564542345702648,7.465589038702092e-06
76,-0.03568621147423982,8.427843033587123e-06
77,-0.03573558423668146,1.1173130008046429e-05
78,-0.03603949956595898,1.4820351850630686e-05
79,-0.035986670292913914,1.2779084386238537e-05
80,-0.03614662159234285,9.715289206724264e-06
81,-0.03599719069898129,1.0184810897584384e-05
82,-0.035416746698319915,1.1755255138723442e-05
83,-0.036135605350136754,1.0391193927716814e-05
84,-0.03637124914675951,1.244226648395852e-05
85,-0.03595639523118734,1.2641491889553435e-05
86,-0.035617745667696,1.2949597862643714e-05
87,-0.03592659533023834,1.191258681956242e-05
88,-0.03568307664245367,1.0866183311009081e-05
89,-0.03632467370480299,1.1380561420537561e-05
90,-0.03600266296416521,1.1886850404607686e-05
91,-0.03616714272648096,9.815809147539766e-06
92,-0.03635737337172031,1.1169762029794583e-05
93,-0.0368030721321702,1.1864098280511825e-05
